a/a,METEO_ID,METEO_CODE,METEO_DESCR,METEO_LAT,METEO_LON,YPSOMETRO,DATE,MEAN_TEMP,HIGH_TEMP,TIME_HIGH_TEMP,LOW_TEMP,TIME_LOW_TEMP,HEAT_DEG_DAYS,HEAT_LOW_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,TIME_HIGH_WIND_SPEED,DOM_DIR,OUT_HUM,OUT_HUM_MAX,OUT_HUM_MIN
101,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/09/09,16.8,20.8,01/03/01 12:00 AM,15.3,00:00:00,1.7,0.1,0,2.1,17.7,0.3,N,94.5,100,77
102,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/10/09,18.4,22.1,01/03/01 12:00 AM,15.4,00:00:00,0.8,0.9,0,2.1,17.7,0.5,N,84.7,98,69
103,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/11/09,18.8,23.2,01/03/01 12:00 AM,16.3,00:00:00,0.4,1,13.8,1.1,17.7,0.7,N,91,98,72
104,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/12/09,17.3,18.6,01/03/01 12:00 AM,16.3,00:00:00,1,0,6.4,3.1,30.6,0.8,N,98.4,100,95
105,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/13/09,17.4,21.2,01/03/01 12:00 AM,15.9,00:00:00,1.3,0.4,0,4.8,30.6,0.3,N,82,100,44
106,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/14/09,20.5,24.8,01/03/01 12:00 AM,16.3,00:00:00,0.2,2.3,0,3.1,33.8,0.9,SE,52.8,74,41
107,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/15/09,20.4,24,01/03/01 12:00 AM,16.9,00:00:00,0.1,2.2,0.2,4.8,41.8,0.2,N,79.8,94,52
108,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/16/09,19.2,23.4,01/03/01 12:00 AM,16.5,00:00:00,0.4,1.2,0,2.6,19.3,0.4,N,82.6,97,54
109,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/17/09,20.3,25,01/03/01 12:00 AM,16.3,00:00:00,0.3,2.3,0,1.1,16.1,1,N,56.3,85,28
110,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/18/09,19.4,23.2,01/03/01 12:00 AM,16.3,00:00:00,0.3,1.3,0.2,1.9,17.7,0.6,N,74.6,98,42
111,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/19/09,18.3,22,01/03/01 12:00 AM,16.1,00:00:00,0.6,0.6,0,5.6,27.4,1,N,89,98,72
112,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/20/09,17.4,20.6,01/03/01 12:00 AM,15.6,00:00:00,1.2,0.3,0,10.5,35.4,0.6,N,78.6,92,60
113,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/21/09,16,19.2,01/03/01 12:00 AM,13.7,00:00:00,2.4,0.1,0,11.4,40.2,0.1,N,73.5,87,58
